t,x,y
6.437245582,-0.0005800346825133905,7.177204584726273e-05
6.447228747,-0.0005800350535604534,7.177220437255805e-05
6.457256478,-0.000580034692991678,7.177200667230908e-05
6.467227782,-0.0005800348363466344,7.177207603269609e-05
6.477257802,-0.0005800343534926415,7.177186457036386e-05
6.487333498,-0.0005800338460585832,7.177165299762276e-05
6.497275472,-0.0005800339105254395,7.177170611788594e-05
6.507379895,-0.0005800338703782623,7.17717052372076e-05
6.517347517,-0.0005800338827939063,7.177171475362498e-05
6.527394703,-0.0005800341070183821,7.177179904378056e-05
6.537457602,-0.0005800340217212941,7.177174445944135e-05
6.547625094,-0.000580034211870137,7.177181911538922e-05
6.557629958,-0.0005800345584013357,7.177197504047413e-05
6.56770605,-0.0005800347009636345,7.177199984419245e-05
6.57778173,-0.0005800349881392311,7.177209494799337e-05
6.587812135,-0.0005800350639209913,7.177210956335156e-05
6.597872626,-0.0005800350856601851,7.177211913433163e-05
6.607933404,-0.0005800347860730583,7.17719796888062e-05
6.61795421,-0.0005800347302458543,7.177197333274815e-05
6.627965445,-0.0005800345896510182,7.177190941730078e-05
6.637991811,-0.0005800344003033401,7.17718317041901e-05
6.648055214,-0.0005800346550531316,7.177196905365003e-05
6.658079353,-0.0005800348496761464,7.177205142725493e-05
6.668110921,-0.000580034878992255,7.177206056461463e-05
6.678160268,-0.0005800345793834398,7.17719176862332e-05
6.688210706,-0.0005800348788022602,7.177206559491481e-05
6.698236055,-0.0005800345923738905,7.177193152544943e-05
6.708328507,-0.0005800344725292164,7.17718720069766e-05
6.71823102,-0.0005800345977161961,7.177193959932802e-05
6.728293571,-0.0005800351629531263,7.177217258066493e-05
6.738395428,-0.0005800353966822613,7.177226048540007e-05
6.748442795,-0.0005800356519925307,7.177235762127255e-05
6.758465231,-0.0005800356735686865,7.177236499996851e-05
6.768537378,-0.0005800360616385431,7.177252844212025e-05
6.778590551,-0.0005800362553306281,7.177260844375513e-05
6.788624697,-0.0005800362428237168,7.177260986786726e-05
6.798684012,-0.0005800360895194352,7.177254186115393e-05
6.808758304,-0.0005800360358370468,7.177253232561274e-05
6.81875537,-0.0005800362882132362,7.17726670294717e-05
6.828797144,-0.0005800364368869692,7.177274715345966e-05
6.838795057,-0.000580036446791451,7.177275027582075e-05
6.848820701,-0.0005800363692714285,7.177273550147212e-05
6.858923164,-0.0005800365988450438,7.177287299810816e-05
6.868915241,-0.0005800362679235635,7.177271830182438e-05
6.879190976,-0.0005800359848454027,7.177262114711758e-05
6.89142065,-0.0005800360089044552,7.177267571774619e-05
6.900540257,-0.0005800362732050288,7.177281509752041e-05
6.910596079,-0.0005800366147216225,7.177296784267352e-05
6.920622334,-0.0005800359575341939,7.177265920768334e-05
6.930678412,-0.0005800350379685055,7.177227353357199e-05
6.940714144,-0.0005800340555836567,7.177189360636901e-05
6.950729773,-0.0005800330857162195,7.17715246414403e-05
6.960778011,-0.0005800321577443595,7.177117012873097e-05
6.970823468,-0.0005800312889296926,7.177083148580824e-05
6.980870047,-0.0005800304854118483,7.177050886038989e-05
6.990910073,-0.0005800297473175127,7.177020191264749e-05
7.000926788,-0.0005800290717143785,7.176991019161604e-05
7.010965483,-0.0005800284542550327,7.17696331272845e-05
7.020982588,-0.0005800278901187499,7.176936973599633e-05
7.036907591,-0.0005800273744321688,7.176911902345468e-05
7.049043781,-0.000580026902745904,7.176888021560835e-05
7.058702588,-0.0005800264708648618,7.176865252765696e-05
7.068526591,-0.0005800260750094518,7.176843526816704e-05
7.078290272,-0.0005800257117344132,7.176822778134678e-05
7.088071129,-0.0005800253779294252,7.176802945511808e-05
7.097892611,-0.000580025070835888,7.17678397519953e-05
7.107883052,-0.0005800247880012131,7.176765819459597e-05
7.118057756,-0.0005800245271554358,7.176748428566076e-05
7.129957754,-0.0005800242863244799,7.176731761610045e-05
7.140854203,-0.0005800240636364964,7.176715772984539e-05
7.15071264,-0.0005800238575326272,7.176700430573018e-05
